ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
12,Guerrero,2,NO,Disperso 1,391093,203518,187575,20164,9955,10209,125065,21260,10554,10706,42124,20730,21394,20640,10213,10427,4493,2222,2271,1628,788,840,2172,970,1202,23154,12399,10755
12,Guerrero,3,NO,Muy Disperso 1,427165,217559,209606,21942,10599,11343,137984,23284,11421,11863,46989,23200,23789,22837,11114,11723,7233,3494,3739,2154,1013,1141,2145,965,1180,4580,2271,2309
12,Guerrero,4,NO,Concentrado 1,368616,194956,173660,13734,6729,7005,98871,15774,7735,8039,33921,16664,17257,17601,8693,8908,5087,2444,2643,1355,640,715,1061,502,559,6978,3814,3164
12,Guerrero,5,SI,Disperso 2,404179,213246,190933,28498,14222,14276,172031,28554,14262,14292,58196,29048,29148,29620,14897,14723,6597,3300,3297,2968,1399,1569,4664,2211,2453,233746,125582,108164
12,Guerrero,6,SI,Disperso 2,413902,218318,195584,27672,13820,13852,173144,28740,14387,14353,59764,29667,30097,29113,14586,14527,6131,3033,3098,1996,906,1090,4113,1984,2129,178107,94257,83850
12,Guerrero,7,NO,Disperso 1,400066,208803,191263,23027,11371,11656,138904,24122,12009,12113,46914,23144,23770,22564,11211,11353,4823,2331,2492,1526,715,811,1873,858,1015,15170,8151,7019
12,Guerrero,8,NO,Disperso 1,376855,192831,184024,22402,11035,11367,142508,22834,11270,11564,48901,24353,24548,24215,12058,12157,3795,1860,1935,1442,689,753,2208,995,1213,46376,24237,22139
12,Guerrero,9,NO,Concentrado 2,405907,210271,195636,18986,9376,9610,126116,21034,10376,10658,43166,21149,22017,21369,10582,10787,7286,3549,3737,1719,814,905,1736,790,946,4753,2518,2235
13,Hidalgo,1,SI,Disperso 2,400091,205623,194468,20243,9993,10250,141827,22567,11171,11396,48845,24239,24606,26019,12807,13212,5265,2527,2738,1039,493,546,1520,704,816,200815,103091,97724
13,Hidalgo,2,SI,Disperso 2,405262,211624,193638,18733,9416,9317,130527,21463,10554,10909,45768,22650,23118,22688,11330,11358,7881,3870,4011,889,410,479,1159,482,677,89009,45584,43425
